"kNN3" "kNN4" "kNN5" "kNN6" "kNN7" "kNN8" "kNN9" "kNN10" "kNN20" "kNN30" "kNN40" "kNN50" "gt"
0.873872721018232 0.855522531819745 0.823042311661507 0.805110423116615 0.793194358445132 0.7734957000344 0.751002407980736 0.741396628826969 0.719770209838321 0.715702786377709 0.711155142758858 0.706881320949432 "Top50"
0.850949948222299 0.836714532274767 0.813614773904039 0.80134967207456 0.793084570245081 0.780005522954781 0.765219192267863 0.758651018294788 0.741170866413531 0.735649982740766 0.731219192267863 0.727540214014498 "Top100"
0.867241196166724 0.855285994688835 0.836099757533772 0.825821498672209 0.818649578570604 0.807377900935227 0.795044913982219 0.789405380441058 0.771971827733518 0.766710079667475 0.762775661009121 0.759348804987877 "Top150"
0.845083767813695 0.834719847062913 0.818556830031283 0.810092457420925 0.804202294056309 0.794851929092805 0.784259297879736 0.779435175530066 0.764370177267988 0.75966527632951 0.755874869655892 0.752907194994786 "Top200"
0.821905824904081 0.813385978374608 0.800008371119637 0.793141820718521 0.788411021974189 0.780806975933031 0.772259504708755 0.768419114056505 0.756555284269271 0.752861109173352 0.749863132193931 0.747470666201604 "Top250"
0.815789756154474 0.807378602263446 0.795037685217594 0.788697934896745 0.784333916695835 0.777268463423171 0.769317465873294 0.765593279663983 0.753653949364135 0.749993232994983 0.747169058452923 0.744905145257263 "Top300"
0.812883536554769 0.804771940388379 0.793572381955944 0.787687289879071 0.783525114155251 0.777068192081891 0.76992081890712 0.766490641778313 0.752823122083396 0.748193888303477 0.745287570876612 0.74296251693512 "Top350"
0.799129890729644 0.791806133239337 0.781806838209376 0.776614557631301 0.772973916108565 0.767303489601692 0.760986781811773 0.757958230525203 0.745113147691223 0.74005745505816 0.73700563976031 0.73470091646105 "Top400"
0.787660731831938 0.780677121408639 0.771351648783555 0.766650001965177 0.763272412844397 0.75809849467437 0.752358605510356 0.749527021184609 0.737057736902095 0.732103132492238 0.72925331132335 0.727107809613646 "Top450"
0.788104650337238 0.781568477103301 0.772664820731274 0.768214696485623 0.765028044018459 0.760089030883919 0.754532765353213 0.751819382321619 0.739271565495208 0.733974582889599 0.730972381966631 0.728822151224707 "Top500"
0.778723839751271 0.772710302166661 0.764502121320076 0.760432814068724 0.757576059850374 0.753127700229945 0.748112446157334 0.74568332415714 0.734239595815656 0.72918664378016 0.726338310068983 0.724330342973735 "Top550"
0.771495292575378 0.765516267429389 0.757504230723394 0.753563580026219 0.750805744249791 0.746477177928733 0.741598975092361 0.739202955547611 0.727033130735312 0.721329519723513 0.718211416994399 0.716100226433083 "Top600"
0.769356959509812 0.763735916756369 0.756221467803814 0.752566365819326 0.750008666611465 0.746032071982556 0.741503574287213 0.739255885843615 0.727255885843615 0.721152824928928 0.717789958874997 0.715529794926996 "Top650"
0.762370183651422 0.75702062863316 0.749739389886311 0.746303513555224 0.743885487936622 0.740204331498534 0.735933329903802 0.733741859149133 0.72155213745563 0.715427233911209 0.712129739184114 0.709928597150059 "Top700"
0.754906734128418 0.74967806288399 0.742569039874714 0.739111528731478 0.736686375135526 0.732974629562703 0.728764341645585 0.726580797494278 0.714435465606553 0.708192747861703 0.704820816769064 0.702639103722443 "Top750"
0.751360718171926 0.746460645629307 0.739771218715996 0.736527203482046 0.7342619695321 0.730795701849837 0.72682725788901 0.724748639825898 0.713004352557127 0.70696826260428 0.703745466086326 0.701651160681901 "Top800"
0.743107218569991 0.738575387053256 0.732335681706246 0.729320456540825 0.727228163343969 0.723989721407311 0.720273410565537 0.71833255530097 0.707029015610613 0.701009357802094 0.697809289278143 0.695781494250412 "Top850"
0.740931027483457 0.736706775463809 0.730828725693176 0.727992205577883 0.726016644338895 0.722921446839605 0.719408679413794 0.717588600657654 0.706983639832745 0.70125035521455 0.698106442577031 0.696069987415256 "Top900"
0.739582730202845 0.735567212861637 0.729936965626387 0.727250303977766 0.7253811977689 0.72246355161832 0.71913581533592 0.717424275760909 0.707425009167583 0.70201161870573 0.699043714897806 0.697121649007006 "Top950"
0.739997718071402 0.73603040117777 0.730488553551711 0.727864630106735 0.726025395656975 0.723164740522635 0.719923518586676 0.718274714758925 0.708682591093117 0.703404269414796 0.700433345601767 0.698455060728745 "Top1000"
0.710608888289473 0.709936840058758 0.709029948601638 0.70861451558274 0.708276990965685 0.707705270397467 0.707070116855542 0.706576775434798 0.704922516446087 0.704366330483675 0.704238758417814 0.703986144543858 "CellMarkerDB"
