"kNN3" "kNN4" "kNN5" "kNN6" "kNN7" "kNN8" "kNN9" "kNN10" "kNN20" "kNN30" "kNN40" "kNN50"
"1110020A21Rik" 9.69609061676263 9.71526244902813 9.73196685279443 9.74328580767114 9.75189514549876 9.76143496915563 9.76915432583644 9.77500568817225 9.81412590127449 9.83754992731032 9.85488147581095 9.86878298266736
"1110020G09Rik" 9.27549962784361 9.31329843792436 9.34194779314987 9.36483409058616 9.38288261036942 9.40194470493855 9.41580379709855 9.42889659420147 9.52279917094915 9.57859437125974 9.6201908330619 9.65422474543507
"1110021J02Rik" 9.72756007576627 9.74501133030978 9.7564251990585 9.76542174038666 9.77283397559875 9.78036223655923 9.78648272923917 9.79180821638134 9.82781624778794 9.84941630320218 9.86623069469846 9.8796504717832
"1110021L09Rik" 9.34400477455648 9.37972141797937 9.40651326904366 9.42687404591404 9.44252121535326 9.45978172724378 9.47279513818658 9.48529274048644 9.56776664514776 9.6133216547634 9.64664110523474 9.67435267583824
"1110028C15Rik" 9.64040782514519 9.66155833588479 9.67736336500093 9.69001354919922 9.70009138006663 9.71081139457291 9.71882198094996 9.72660935254675 9.77607053487472 9.80396925793513 9.82442127328833 9.8410914343434
"1110028F11Rik" 8.84057666583726 9.1344387046674 9.35696000685267 9.43922667741533 9.48916680116163 9.55508098522551 9.61534038915866 9.64570749468328 9.76154218991007 9.79513021373434 9.82096201160573 9.84743888227116
"1110031I02Rik" 9.09317180094031 9.13839490889198 9.17219209445839 9.19804925752837 9.21717856305428 9.23889701943057 9.25538124268727 9.270398992109 9.37192742969779 9.43209853898672 9.47720653479356 9.51440260423345
"1110032A03Rik" 9.53444665607656 9.55899644040884 9.5771518570823 9.59035260799259 9.60076570819887 9.61176478819065 9.62087600202643 9.62926129695748 9.68471074226111 9.71621928328428 9.73980670777618 9.75910624138184
"1110032A04Rik" 9.84369553325645 9.85629200020146 9.865375462415 9.87223444933677 9.87827934692013 9.88426765937781 9.8888198808382 9.89277786306077 9.91636411509292 9.92950228016231 9.93848854600698 9.94526497849433
"1110034A24Rik" 9.29255081113398 9.32726439909527 9.3541836084315 9.37627778917252 9.39267536610993 9.41171117434412 9.42511682593228 9.43737304536578 9.52131036240573 9.57202274827577 9.61039827629502 9.64201434428334
"1110034B05Rik" 9.59292420321825 9.61539002662444 9.63298351284454 9.6457605516383 9.65558595783097 9.66683301129443 9.67499602036794 9.68292729372169 9.73483418198452 9.76608867461941 9.7883530201835 9.80700658307028
"1110034G24Rik" 9.88831318400375 9.89666682117428 9.9027327606821 9.90732197200277 9.91049252306632 9.91421797059735 9.91698481412263 9.9193982981931 9.93643197383154 9.94520183935095 9.95194227626732 9.95732869953078
"1110035M17Rik" 9.60966412055265 9.64001806885576 9.65943730490789 9.67903338332581 9.69333115552624 9.7070826015743 9.71835163126198 9.73297994761709 9.79208314066623 9.82087226702469 9.84005546652508 9.85554717229092
"1110036E04Rik" 9.51599422471974 9.54456770854507 9.56941119506613 9.5852372727218 9.59709579176466 9.61183055423719 9.62348844634902 9.63275795620467 9.69038518256241 9.72480348130849 9.74920468502765 9.76865026799779
"1110037F02Rik" 9.77584179457072 9.79040010614152 9.80063716990451 9.80944822280818 9.8158171309652 9.82317845288393 9.82861797364918 9.8334939292173 9.86615375854757 9.8845958853061 9.89795077176706 9.90837369315848
"1110038B12Rik" 8.95301276381577 9.00377074743425 9.04409157184936 9.07277125669929 9.09450764745099 9.11962637699401 9.13771546675847 9.15499756393187 9.27069248377223 9.3377472990664 9.38695648984512 9.4284175042791
"1110038D17Rik" 9.90339339061711 9.91159245007911 9.91672897607904 9.92099892656252 9.92459125655421 9.92795876035644 9.93050902943829 9.93299132870846 9.95007791482578 9.95946206055241 9.96605152125075 9.97095020890384
"1110038F14Rik" 9.4695290762848 9.49508496537669 9.51517366126136 9.53051375691186 9.54248674131169 9.55453476866399 9.56446875300789 9.5735030187047 9.6353032062683 9.67189167580848 9.69855022971039 9.72068750275678
"1110046J04Rik" 9.84585656008567 9.85968015339732 9.86931234302863 9.87669445331904 9.88238843666874 9.88784847767496 9.89217612948465 9.89676494212643 9.92283867289703 9.93644484094557 9.9454760744379 9.9525429437955
"1110049F12Rik" 9.6358490693108 9.65608825456384 9.6708229356029 9.68271926373265 9.69168325144443 9.70154761036917 9.70901326147211 9.71579435429645 9.76454555065623 9.79250287330576 9.81283309354418 9.82906029964869
"1110051M20Rik" 9.13672027205646 9.1787705598903 9.20979817402408 9.23354062277381 9.25136652335643 9.27132393544128 9.28605998321987 9.30003015881481 9.39188211552088 9.44463825140047 9.48374314231965 9.5167380794219
"1110054M08Rik" 9.80645821303328 9.8221635266248 9.83474752710434 9.84372999690232 9.84998431478894 9.85691395255717 9.86236258924051 9.86791683724851 9.90092703950679 9.91954840755917 9.93290324217742 9.94415467896179
"1110054O05Rik" 9.36996872668606 9.40144105006211 9.42648483838137 9.44507416311904 9.45878549686098 9.47356559785349 9.48530180650599 9.49647155937346 9.57009885156974 9.61388016904698 9.64576347429067 9.67207874605848
"1110057K04Rik" 9.6849466783194 9.70164216816411 9.71496811418563 9.72500924874229 9.73261673719834 9.74091527954878 9.74756441751301 9.7533537982984 9.79373504992936 9.81779948213301 9.83562141238922 9.84969521480402
"1110058L19Rik" 9.15711334518526 9.19708448625795 9.22855960108539 9.25074025063374 9.26756343728283 9.28664262372939 9.30178671767292 9.31618344107135 9.41068825270064 9.46435983276551 9.50337390796012 9.53603056628093
"1110059E24Rik" 9.61499303313069 9.63609825285425 9.65145179470439 9.66298753689438 9.67197373705805 9.68107791220367 9.6886149217253 9.69539726338012 9.74036475735953 9.76759725593759 9.787645293885 9.80422198591151
"1110059G10Rik" 9.61914222867056 9.63861605771822 9.65368796342998 9.6654393490046 9.67439855866927 9.68400397782283 9.69126689290998 9.69791377758294 9.74644145160348 9.77495237138069 9.79621530827701 9.81331501046451
"1110065P20Rik" 9.64036621980486 9.6603458624544 9.67529505246836 9.68641833985474 9.69504934740595 9.70424219861969 9.71141044662339 9.7177856568087 9.76024313567002 9.78448422569526 9.80245608172955 9.81701674948823
"1110067D22Rik" 9.2924402294942 9.34508515746833 9.38192150647422 9.40576290767695 9.42206484515034 9.44046715982763 9.45421933631203 9.46637628745683 9.54329970317484 9.58457307034461 9.61465928363924 9.63884983571142
"1190002F15Rik" 8.53416533700333 8.62232759593367 8.68967552970282 8.7428736486694 8.78454107556367 8.82582737589103 8.85648694137781 8.88388193105225 9.07761553738905 9.19552560796688 9.28520083892819 9.35941282918354
"1190002H23Rik" 9.01806678060127 9.06620661758169 9.10407916646356 9.1331373726873 9.15651478383493 9.18136156942806 9.20150352717067 9.2203283691257 9.35835055810532 9.44382334135542 9.50353949430093 9.54950927813071
"1190002N15Rik" 9.41973223972765 9.45263198332269 9.47653642858101 9.49447995487057 9.50917938466299 9.52644429305771 9.53846383340347 9.54889654809277 9.62084572551854 9.66145740998814 9.69199612949801 9.71805403018787
"1190003J15Rik" 9.79991875703649 9.81922774824666 9.83108987675205 9.84073968338238 9.84858626802365 9.85585656219961 9.86063992137525 9.86520038131606 9.89688494843383 9.9116605803803 9.92121418449714 9.92890148172436
"1190005F20Rik" 9.7022100941622 9.71865850460404 9.73142126230652 9.74052387568126 9.7473927797645 9.75464550472545 9.76042759044185 9.76579682315628 9.80255765917087 9.82328109270797 9.83810463795292 9.85015727343323
"1190005I06Rik" 9.22419745034711 9.26438474636034 9.29410952613421 9.31758339217555 9.33534752942583 9.35468520053016 9.36971083747481 9.38342512424751 9.47442947736893 9.52650530008704 9.56353263861717 9.59532200094764
"1190007F08Rik" 9.78176587704032 9.79877179421071 9.80994865390346 9.8194557408301 9.82618456597256 9.83227775759396 9.83815905316059 9.84249044958362 9.87254550733485 9.88881744068604 9.89997249643437 9.90833994596883
"1190007I07Rik" 8.74463645116542 8.80537736270731 8.85078928846917 8.88519966698124 8.91086839395212 8.93990779261379 8.96171727456764 8.98253601630145 9.11908039784626 9.19860632370522 9.2577309226457 9.30713930394391
"1200009I06Rik" 9.41613136354641 9.45297700493095 9.47972986442981 9.50071851355345 9.52098462486237 9.53802473147205 9.55276426320392 9.56546779341223 9.65381797754835 9.70194466327439 9.73142069833301 9.75384127621307
"1200011I18Rik" 9.75368508350006 9.76890342989901 9.77885214634994 9.78641473713935 9.79281643804179 9.79932859440621 9.80429429666354 9.80857646402228 9.83803768776498 9.85523014452856 9.86812748703679 9.87880630927211
"1200011M11Rik" 9.69272782409521 9.7122288868318 9.72690263236873 9.73775619859679 9.74654283571784 9.75523314287223 9.76194234102031 9.76810793666433 9.81249087246583 9.83940326529932 9.85836160564434 9.87256451167573
"1200014J11Rik" 9.67359995383626 9.69118866161864 9.70512597045066 9.71572476043063 9.72372199461977 9.73238714192986 9.73927950538332 9.74513060273664 9.78651298523418 9.81122046066074 9.82997347137311 9.84567844070988
"1200016B10Rik" 9.75746802797917 9.77054851465568 9.78025611990721 9.78701962034456 9.79216482987048 9.79794925358003 9.80223395033521 9.80625554388342 9.83279387504821 9.84811978938028 9.85945636936482 9.86892654948626
"1300001I01Rik" 8.89080696361413 8.94751410189934 8.9901900156705 9.02297542977483 9.0470594831637 9.07443794732915 9.09545872803955 9.11506525375887 9.24300278011073 9.31522817727228 9.36840924397825 9.41174085794412
"1300002E11Rik" 9.47599351234259 9.50390884569404 9.5257244068029 9.54181340103683 9.55375885780985 9.56680087181665 9.57739290312441 9.5868878428536 9.65264542466102 9.69239834757119 9.72176752563094 9.74582377321851
"1300002K09Rik" 9.39178149419187 9.4249948060215 9.4495446525169 9.46968415260989 9.48877189436472 9.51038194002528 9.52210005135572 9.53502456382638 9.6045903151967 9.64292828361925 9.66859796270026 9.69066566235999
"1300010F03Rik" 9.44417719540453 9.47430752688146 9.49566993092389 9.51255755445229 9.5253559801495 9.54088487742442 9.55094016917141 9.56049439141101 9.63140467360469 9.67035534182417 9.6993050493764 9.7235851698834
"1300014I06Rik" 8.54880561515185 8.62155769616785 8.67324126532004 8.71521621547169 8.74779383539234 8.78372100439043 8.81255300103713 8.83830882878548 9.00952484607994 9.10564077609099 9.17504601139974 9.2317690217482
"1300017J02Rik" 9.83242887318688 9.86487563693913 9.89028068990494 9.89897214722939 9.90762143434077 9.91230873506862 9.91520835158257 9.91972055515482 9.9432866351198 9.95296471282989 9.9596360448269 9.96520914850043
"1300018I17Rik" 9.7838605364475 9.79603844130251 9.80551805968549 9.81290050881245 9.81836050024777 9.82486373620372 9.83141134091853 9.83713446332193 9.86968186392945 9.88495832330896 9.89544165260478 9.90397182921723
"1300018J18Rik" 9.65447222465747 9.67252116604306 9.6869097368702 9.6975614794661 9.70580105184139 9.71403087708983 9.72038772563213 9.72665060788203 9.77185636447522 9.79976843666939 9.82034436628408 9.83714260044588
"1500001M20Rik" 8.95736709024886 9.01177854463741 9.05347970668607 9.08438127487782 9.107894760692 9.13385880685837 9.15326865725315 9.17124449225736 9.29475113273177 9.3669686060915 9.42114946914245 9.46607083231127
"1500002O20Rik" 9.67083101722213 9.68810362359088 9.70130637286575 9.71141126607856 9.71954445575874 9.72739962828258 9.73432079396322 9.74019741057969 9.78180227218633 9.80795838697255 9.82774295101838 9.84372527233732
"1500003O03Rik" 9.51449729685088 9.537367118023 9.55490139425842 9.5679297557262 9.57769946875279 9.58816147354851 9.59647526308984 9.60416756894815 9.65631015741316 9.68688790577351 9.70915816149992 9.7273416269171
"1500004A13Rik" 9.70331874806664 9.72304415736766 9.73593090434299 9.74521925100941 9.75297619928272 9.7606219056653 9.76673599320273 9.77292230039034 9.80958314027515 9.82960596877832 9.84291586676756 9.85388970245655
"1500009L16Rik" 8.47220574212785 8.54828806126393 8.60551375686262 8.64911675113285 8.68268304638243 8.71919722234819 8.74650012954733 8.77335664359406 8.94709205530647 9.04566987061143 9.11727380122595 9.1765655698023
"1500010J02Rik" 9.15322763637259 9.19938556787859 9.23242579797544 9.25887320317782 9.27877447150347 9.29986618771494 9.3159257260536 9.33103062270532 9.43237295304338 9.49289677962109 9.53958249902507 9.57786234313691
"1500011B03Rik" 9.26367220166803 9.29778710174343 9.32485240737604 9.34412438841391 9.35889989437129 9.37517618567533 9.3876650936701 9.39978679696078 9.47855990342692 9.52419903422012 9.55709396725838 9.58463292288391
"1500011H22Rik" 8.76050672018821 8.82082379668146 8.86704122715871 8.90283562693078 8.92893567644625 8.95827099815369 8.98037439239496 9.00137655859087 9.14298122789133 9.22653245996186 9.28921248030536 9.34217305231423
"1500011K16Rik" 8.88523987886556 8.94172122669574 8.98485964390156 9.0164503047679 9.04088916677712 9.06730773678086 9.08949511666305 9.1109581598819 9.24514586959942 9.31802294722325 9.37107378895563 9.41476519461707
"1500015A07Rik" 9.72729756750809 9.74388101894307 9.7557425393737 9.76469231613155 9.77155122014462 9.77857406283727 9.78452219913417 9.79000523338582 9.82370152236182 9.84187708252803 9.85469150935198 9.86531262869941
"1500015O10Rik" 9.80667866122793 9.82780897486897 9.84107616797148 9.84955712926075 9.85578809711317 9.8628953759469 9.86818033054065 9.87431923671173 9.90998714076852 9.92525044575174 9.93584971457253 9.94333120748689
"1500031L02Rik" 8.98250224757852 9.03254096637322 9.06982825399807 9.0977255955467 9.11980485960077 9.14353457867989 9.16233355671121 9.17956443094032 9.29556848328299 9.36462213623228 9.41438645034714 9.4547471548807
"1520402A15Rik" 9.3975154294003 9.43217352298011 9.45602938648869 9.47435924470836 9.48881289949921 9.50601637581095 9.51831026400542 9.52924227308051 9.59967380249129 9.64132161755905 9.67114529673384 9.69498741851131
"1600002D24Rik" 8.55899302771476 8.61983748634971 8.66948993320375 8.70488861705223 8.73176488861369 8.75769614237293 8.78184979994066 8.8050938523511 8.96006202533223 9.05861087171958 9.12985801242517 9.18917958959725
"1600002H07Rik" 9.28548001731773 9.32537597764195 9.35442343480101 9.37745745449863 9.39505359380452 9.41501183701777 9.42900854131456 9.44152948130932 9.5314937176903 9.58559277413534 9.62636619656422 9.65963333800235
"1600002K03Rik" 9.62281223790555 9.642780741693 9.65944478116928 9.67193683910773 9.68085402849127 9.69059123429714 9.69878929909262 9.70674855385684 9.75559101746127 9.78359597355198 9.80400867114749 9.82052704326333
"1600010M07Rik" 7.70377237850523 7.80157654887058 7.88192839052074 7.9377151541088 7.97989004534407 8.02350532399145 8.0622235988132 8.09922503893965 8.34063020849723 8.48368064952238 8.58674678365593 8.67568680197231
"1600012F09Rik" 9.37592736520615 9.40656534110207 9.43071476815287 9.44825907681144 9.46108129040337 9.4754018803357 9.48624712337401 9.49679784240324 9.5671292964992 9.60683277890946 9.6360800267186 9.66041443210828
"1600012H06Rik" 9.83283713414986 9.84283309938162 9.84982997490232 9.85508063727311 9.85921473833973 9.86389837411222 9.86750594978295 9.87061518127993 9.8932336146082 9.9073067170193 9.91715362387474 9.92545751971831
"1600014C10Rik" 9.29647450904397 9.33198843406243 9.35857228365744 9.37826261080458 9.39400834798261 9.41084587142563 9.42356128776339 9.43615709272757 9.51885750392416 9.56789317598747 9.60359349531289 9.63248281977805
"1600016N20Rik" 9.69751287224117 9.72427854609636 9.74549336850658 9.75951936354784 9.77101962846011 9.78121879309952 9.7897472889933 9.79684425975508 9.84450950173975 9.87054435951682 9.88700373029778 9.9019164948756
"1600020E01Rik" 9.6965799812713 9.71202976175168 9.72486144230421 9.7330641653872 9.73970093976541 9.74701845250685 9.75315581456589 9.75870661831275 9.7936215295068 9.81316339694633 9.82658438349923 9.83746326674594
"1600021P15Rik" 9.23348472182002 9.27330783005428 9.30274940758901 9.32530554406554 9.34271194478412 9.36288941590256 9.3771644629174 9.39011737477631 9.47693936662558 9.52539746937128 9.56025462995274 9.58912913740639
"1600027N09Rik" 9.57891952400403 9.60070285135055 9.61694251605477 9.62955687111776 9.63889230011713 9.64845633833999 9.6561445991723 9.66356803173569 9.71124197375333 9.73890457356235 9.75870862295399 9.77538772936259
"1600029D21Rik" 9.62988316773718 9.65320627368482 9.67007456383023 9.68248555762597 9.69266286485857 9.70445757626922 9.71345106136113 9.72056041881916 9.76764773502532 9.79327912113176 9.81133512797341 9.82621297892419
"1600029O15Rik" 9.31423768379831 9.34970169815239 9.37453229179642 9.39359556090593 9.40870795536394 9.42577840019731 9.43883031337946 9.45134850787728 9.52977284231994 9.57543122710824 9.60840464946435 9.6357273709342
"1700001C19Rik" 9.13093693852332 9.18113291711179 9.21622901206619 9.24532958989277 9.26772738751045 9.29042400415473 9.30805145626597 9.32554893165978 9.43541045827473 9.49834036104762 9.54153258812893 9.57492998385555
"1700001D01Rik" 9.62768458541315 9.65572356035846 9.67490837686878 9.68988907128046 9.70426953615245 9.71759021531893 9.72633975812379 9.73385836660948 9.78727832136954 9.81328919117703 9.83014524466714 9.84436304248978
"1700001G11Rik" 9.80006808137383 9.81498242699818 9.82563187721846 9.8347128682833 9.84100804541148 9.84876075523699 9.85375221334262 9.85838438726865 9.88850438331109 9.90501322834141 9.91673464799061 9.92559010866857
"1700001G17Rik" 9.77165903932232 9.78719156259351 9.79776563277314 9.80556835316056 9.81194155003123 9.81844028601056 9.82328583012084 9.82737301723476 9.85759101569545 9.87479934422724 9.88808856075046 9.89937637255307
"1700001K19Rik" 9.79778708007868 9.8147409934583 9.82727092590366 9.83679210494405 9.84293222565119 9.84961861473295 9.85502007031422 9.86024600710661 9.88801969664315 9.90405459977342 9.91464861372006 9.92254240751657
