"kNN3" "kNN4" "kNN5" "kNN6" "kNN7" "kNN8" "kNN9" "kNN10" "kNN20" "kNN30" "kNN40" "kNN50"
7.01837626149612 7.54801209764333 7.81543041739785 8.01802833763071 8.16728626878715 8.29278831016027 8.37428741070364 8.44835240686369 8.84672646257011 9.0213312337215 9.1264794634967 9.2055414786181
7.60695907486475 7.88486533235281 8.04457199064511 8.1498877023357 8.23946749958033 8.29551524618189 8.34593029292181 8.3904886138335 8.64042786961305 8.74517860577406 8.8079331782981 8.85112903493403
7.85924603670252 8.21966188076392 8.4010985414951 8.51455592523998 8.59716510949534 8.65675705096859 8.70807235555528 8.74837998752042 8.96537603112266 9.06110360976444 9.12041417388966 9.16233853290616
7.12318655593689 7.62890108516121 7.89523207497063 8.11186975029801 8.24492114771526 8.32183541903201 8.40723782965384 8.49442561240443 8.87115974154495 9.05833323196267 9.16341577168723 9.23355336610476
7.72553972171226 8.0669397732787 8.26926973131848 8.39486838696952 8.49200717345611 8.55394744973721 8.61324860829747 8.6628498008271 8.92526018000307 9.02861628950896 9.09197628848063 9.13400945997801
6.92171065353863 7.2344179665442 7.40483169488025 7.53306627307334 7.63500097447499 7.69883695202968 7.7603505157138 7.81679937549425 8.14069609585183 8.28191893367236 8.37112339497699 8.43143086110101
7.80070639771015 8.14765069524138 8.3300961568888 8.46637656813902 8.55631445368671 8.62575333586634 8.68199427202139 8.72875686739676 8.97571200891345 9.0740195820334 9.13432120138773 9.17651344452708
6.9414447368849 7.27310044991675 7.44092330612866 7.57308952429788 7.66459773361233 7.73285196028495 7.80254405782913 7.8679911020335 8.20495287541971 8.35170687174166 8.44230801126904 8.50622817720202
7.51067466085855 7.8628273459884 8.05679860091438 8.19133748516601 8.2891299628831 8.36144195993102 8.43160977934903 8.49672472638181 8.80051762452396 8.92753294751093 9.0027272290396 9.05720036736352
7.03583045225609 7.37499680304315 7.56504121802125 7.69100002986983 7.79291253602984 7.86271027790197 7.92821858857018 7.99294049055977 8.30813216108574 8.4468115819429 8.53906208585614 8.60049377112494
7.10921725750489 7.57478332172591 7.77732419915958 7.94683975893722 8.07371953974096 8.17165090604674 8.26734623557531 8.33027147063931 8.70808329999032 8.87328424406298 8.98060368593867 9.05206738926225
6.7839563064864 7.15599916765503 7.37925635036032 7.53616075840577 7.6413176393539 7.71755944616198 7.80066587048351 7.86117950890113 8.20918794319045 8.35810150005102 8.45037177867592 8.5154200092123
7.05956016192288 7.36437933634109 7.53449723500103 7.66042436907845 7.76614495241449 7.82650756454277 7.88562094566358 7.94033980556334 8.23353362724656 8.36856331569786 8.45125170448519 8.50686547169974
5.9585399198789 6.34751103698724 6.54256588733275 6.6937422292569 6.81599907770068 6.89919945120684 6.97403571444737 7.0425397977819 7.44279481711002 7.61425330259897 7.73060324833754 7.81224638331805
7.2033408818802 7.51206250941616 7.68976042793216 7.80944672793629 7.90042419524518 7.96649895093038 8.03240066354611 8.08425327946444 8.37685040939549 8.50672773097584 8.58003141114374 8.63270608342796
7.73529817493655 8.06871102348542 8.25766049680708 8.37477706869515 8.4672499919292 8.53137508089768 8.59099245874213 8.64074944840892 8.88830275470151 8.9890700961826 9.05223670607542 9.09554266426547
7.32941492461411 7.62041440237242 7.77973363844126 7.90144693040423 7.99389709255315 8.05164865490933 8.11006281175578 8.15821338772121 8.44007165565709 8.55974143871561 8.62776082860166 8.6774447075247
6.04436913180178 6.39652585394743 6.57027641980472 6.74246113555788 6.850641668008 6.93285896535229 7.01897750515992 7.09410073802616 7.56188757880576 7.75875172261981 7.88546928973424 7.97798794503091
8.5172594363178 8.81891367569592 8.96965709081523 9.06180802992743 9.12921494445331 9.17979343902658 9.21775232788302 9.25357124408015 9.40727094763567 9.46988055696148 9.50929287724974 9.53598244414946
8.12191023358258 8.42287190793923 8.5778441759924 8.68545932410541 8.76430007571481 8.81554567088684 8.86004767427348 8.89807285498549 9.08789660024297 9.16781894940881 9.21519002255071 9.24806116038685
7.61218758177376 7.94332774850633 8.10536134834974 8.22614264866674 8.31209369123786 8.37346201257901 8.42804312750765 8.47231398669087 8.73461936790335 8.84614764901495 8.91460766323567 8.96311506782185
8.06684409907159 8.38313641826169 8.53872494737277 8.64686621965381 8.72694093567434 8.78175717918809 8.82877563131738 8.86894195740077 9.07203738127233 9.15933106336724 9.21105346128585 9.24752316456879
7.50007202246267 7.93897377688812 8.17892601121917 8.33566717045997 8.44491848553333 8.54628287859823 8.62358774414533 8.68717160806023 9.00664750154752 9.14478005185608 9.23244285965535 9.28590492574948
7.54302220774109 8.03700983080934 8.29650242648384 8.49060291986212 8.60887321215837 8.71667735617192 8.79613878298506 8.86397923617806 9.19524395847095 9.34541642764236 9.43961056166014 9.5003848415187
7.8498469433371 8.18845826864468 8.35008225015994 8.46522923450672 8.54718206308802 8.6096684622561 8.65653547675611 8.69604631692881 8.91906272927074 9.00623312660253 9.06037332748183 9.09579971487083
8.11326828015111 8.56058386330573 8.78474351833455 8.93565818398925 9.04582196861814 9.12351378055298 9.18701267471604 9.2351811605193 9.49138574723242 9.59487957911888 9.65149828335899 9.68963198994543
6.41299318149534 6.90141361514306 7.18931522548686 7.38965941873258 7.55699735119426 7.63108235921246 7.6800788211545 7.74511069213969 8.08891708362713 8.27319928881262 8.37233268125924 8.45196799322152
7.28269689950958 7.78612803841585 8.04590337229279 8.23604995924137 8.36147268304145 8.45123557151643 8.52306753926293 8.58863379571766 8.92842454993887 9.07516214830051 9.1704662598247 9.23078249626265
7.27212301733352 7.6250475089714 7.84340897821843 7.98116818151583 8.086354921274 8.16003738995425 8.23481666312154 8.295953244883 8.63463666753117 8.78054385106664 8.86731805810516 8.92825002557663
1.3449799507773 1.45645748756681 1.59628060480259 1.818391991476 1.99849066735166 2.11083122077779 2.19603377549177 2.30345831514714 2.94698766046285 3.21949932010446 3.40345599966288 3.53332420820917
7.75817573153425 8.09215300991393 8.25968626133307 8.38095918715872 8.47262931949883 8.53287902298543 8.59022046898526 8.63598247015499 8.88010750565508 8.98291796904506 9.04394298065105 9.08719887280618
7.1858668397238 7.51709020121071 7.69726282285549 7.81223708236536 7.90995113240481 7.96863838625465 8.02962411021725 8.08556077567549 8.37797785713903 8.50795658427992 8.58815259786067 8.64401889246659
7.83923365570475 8.26688660163977 8.50226763251245 8.6499500741515 8.75341415367948 8.82785767187338 8.88951974344466 8.95015577347293 9.21577087688447 9.32333581039038 9.38672786447061 9.42721437735518
7.00076376504172 7.35197190471388 7.53344810024789 7.65613830184475 7.75792665364469 7.83075645881121 7.9039701867708 7.97054939651108 8.31202509429034 8.45480922560358 8.54504502757661 8.60878044909015
6.70927296153195 7.04340615552778 7.22961936645891 7.37401831150723 7.48162956070708 7.55871943884361 7.63849277738696 7.70331409193114 8.06286504541383 8.21621598416687 8.31903349254851 8.38842994876753
8.16628712539648 8.46338227942122 8.62025815258629 8.72349377389219 8.79890254437726 8.84809327863441 8.88806567056763 8.92743061750915 9.11146598177265 9.17963196016324 9.21865901420293 9.24402760253144
7.82454451257197 8.27293137243999 8.51253674652265 8.66600724882212 8.78182478696242 8.86603183649561 8.9311097280988 8.98544233268002 9.29115337190424 9.41920005013661 9.49598115460749 9.54487820738589
6.43478694792213 6.69928629168607 6.87380427117161 7.02497384075532 7.12675165029758 7.19344245299731 7.26240161683279 7.32460115200395 7.68179187525993 7.82061903432281 7.90077451755648 7.95932716204697
7.59376587436803 8.00848812329169 8.23937476436996 8.38194042575048 8.48980467811286 8.56374612054023 8.63203781663653 8.69836462112228 9.0095733271935 9.1366477202672 9.21472441508832 9.26263906310379
6.92743367570549 7.28271944987041 7.49728458064806 7.6209896461287 7.73194583175371 7.80553640973817 7.87626314202441 7.93374091594332 8.25495709066229 8.39488629819716 8.49260081916135 8.55596410043133
7.7344867572881 8.05851659581241 8.212732146124 8.32297612219685 8.40212088139659 8.45143256602612 8.49995455155434 8.53961474178481 8.77634713808567 8.87406810392839 8.94095640997074 8.98942546103916
8.03054340536131 8.38521908210753 8.5685476072904 8.69554805077767 8.78430823224619 8.85150018062675 8.90477292270644 8.95026344472568 9.17663026137335 9.27184750655694 9.32883227076081 9.36860238768224
8.2041084243473 8.53192812739891 8.70372517872764 8.81573223384464 8.89647531770434 8.95134517405183 8.99736821211977 9.03247062595428 9.22170549635453 9.3065340265364 9.3547985884745 9.38764051723055
7.50505796230722 7.92064855950038 8.1514943257168 8.28822307570742 8.38222114857485 8.44394886921711 8.49929049469177 8.55985383686826 8.84383489699237 8.96771761739737 9.04534332995956 9.09631362717958
8.36134277470884 8.74032481913357 8.92195707128339 9.05045129789375 9.13437861948317 9.19541579559936 9.24484136374121 9.28249447410324 9.47766446911423 9.55307949243672 9.59805404582333 9.62900234403973
7.91940971411152 8.25988737829357 8.45036602046713 8.57312946915902 8.66212565245791 8.72119435514222 8.77399741082469 8.81705685219887 9.05296275250447 9.14887575864373 9.2016164989247 9.23884442296398
7.51574363970066 7.91656916498435 8.11837580434462 8.26072488384641 8.36849039319587 8.44863761897392 8.51491920585531 8.57773239995091 8.89439034951176 9.03190177053043 9.1130212501494 9.16624327038541
7.5837288396283 8.02773958121418 8.27971942751425 8.44225006040571 8.54338355388593 8.63451314290984 8.70440062179833 8.76034374986714 9.07705957751389 9.21488320490566 9.29959115131435 9.35573445501913
7.11684758923823 7.47673931764121 7.67805092139805 7.81504993829322 7.91715796689961 7.98863862302563 8.0602168970839 8.12223764847424 8.43222557157456 8.57368579834132 8.66445172486692 8.72186347712129
8.2287448240278 8.58353694843527 8.76971182433943 8.88167571400019 8.96424637172611 9.02480387487362 9.07790875037303 9.11625725414892 9.31240280379703 9.39952793432371 9.45525759582185 9.49140509986375
6.67390410955505 7.16258832484497 7.39541435213954 7.55721735685027 7.68025735172179 7.76857409848733 7.84480722476134 7.92988910530612 8.3285051119711 8.5014400887083 8.60993911604849 8.68784750340135
8.04264439220363 8.38784701781149 8.56948445032647 8.68322763819919 8.76370335754576 8.83028372087867 8.87723452184496 8.91240802054133 9.11194925190366 9.19644843078918 9.25182261541787 9.28958025795552
4.41094610603446 4.97022178310239 5.46181644015609 5.65409576465828 5.86476928102675 5.99191711507756 6.09548414617472 6.17657207770676 6.75479768163513 7.26013048152913 7.71839461191851 7.9527086483368
6.71964757250599 7.062753097637 7.25489892445397 7.38555465389637 7.48542470975752 7.55617681610021 7.6357623684249 7.70000862620659 8.06332611076197 8.2257086668837 8.32894628743771 8.40159690405015
7.77393764763357 8.11972761168289 8.30785508848721 8.4255837564105 8.51415461716901 8.57284528536286 8.63394103066308 8.68283402753621 8.93745601718523 9.04206405294415 9.10670265966103 9.14996934047834
7.5663770306423 8.06437378450812 8.29975395640111 8.48048483806399 8.60497077618819 8.69429902843581 8.77236666642955 8.83461672577931 9.18875661706145 9.35071786190309 9.45262064939932 9.52024289559935
7.1976222494055 7.55105034431862 7.75443741901122 7.88798935210935 7.99306542466494 8.06412254421521 8.12630041109259 8.17836734431707 8.46358426911854 8.58663012019921 8.6709906402085 8.72596040733707
7.6819789883671 8.09739391968411 8.32316711887487 8.44942227629955 8.55639585746569 8.62352909416782 8.69242815483139 8.74784493238729 9.0137682542955 9.12227240716856 9.18783734419442 9.23174661671125
8.43241814492931 8.80214820008917 9.00747615779554 9.12972622377914 9.21378802855568 9.27912689793163 9.33290439003572 9.37813123853325 9.57719344078759 9.65486946007377 9.70153123257455 9.72905737942823
6.79028736461541 7.3486464665614 7.59266727926206 7.81862615195841 7.96455910484598 8.06919494652828 8.16817469373409 8.24162337158914 8.672358619732 8.88147053143154 9.02673484132235 9.12500849430383
6.78007385233045 7.3081430240883 7.55867958006878 7.77124967919003 7.9141802053513 8.01085630002238 8.10320467455174 8.15858831290669 8.55958637158147 8.73752962316735 8.84269819062872 8.91112979092526
8.3598959496621 8.68581469872413 8.86749546002026 8.98324131501725 9.05617739593024 9.11597249003776 9.16752025951787 9.20677334745977 9.38777100550314 9.46569019656579 9.51024301196221 9.54048949768478
6.60874257266182 6.90590125331554 7.08685803573924 7.21181221222299 7.31138689629328 7.37896085424502 7.44946765011048 7.51438399078357 7.85278948028749 8.00544885680334 8.10671005964047 8.17593830214302
8.54346302363789 8.93230300357898 9.11948953384567 9.23299551533538 9.31512698919201 9.3766308624592 9.42118632881565 9.45830695302202 9.63543357261854 9.70464820078096 9.74406911183855 9.76851790842971
7.8015135220169 8.10846696799452 8.27547881575353 8.39011693396884 8.47447815479311 8.53451366455393 8.58259583749919 8.62786503649219 8.8678001503405 8.95904372619081 9.01523975887332 9.05462180403943
7.25678105642743 7.80058580765556 8.10401272052757 8.30157241846172 8.42940710046332 8.51368388228709 8.60664562202242 8.67106931026949 9.04202832826608 9.2164880200403 9.33163402091169 9.41604373075707
8.10985783253627 8.43357472912745 8.61745696221253 8.73212191628819 8.81966463143913 8.87438250667139 8.92201635902115 8.96482281982378 9.17035566248742 9.25723168413165 9.31027887392558 9.34415403103165
6.87274104238936 7.21056305528936 7.38506445622464 7.51439122566802 7.61753774560435 7.68205368527134 7.75153270267331 7.81797686782357 8.17053618053168 8.32278282445892 8.41875395310436 8.48719600826365
8.00181512428494 8.39827994569996 8.6156455201583 8.76318478851008 8.87226351069509 8.95000865951804 9.01580106170841 9.06843319496395 9.33290612817775 9.44860209733035 9.52245887201563 9.5706460311916
7.51835494312654 7.84190353698576 8.01502381924782 8.13359161726676 8.23033669344234 8.29102436124915 8.34392713929742 8.39193472589599 8.63981104274937 8.74356244578374 8.80900323995311 8.85281502582318
8.2577514981483 8.57368588379523 8.73774175348593 8.8497859237481 8.93324995441628 8.9889509420666 9.03375336813277 9.07028618696652 9.26636491798903 9.34147991451561 9.38565169600179 9.41405757227931
7.03265500670126 7.33458764946424 7.50267818662801 7.63408806150408 7.73243734964901 7.78926142303187 7.8531275548133 7.91156124544037 8.23282033736971 8.36308197230775 8.44377042363931 8.50155493075215
8.03245347473536 8.37574221211951 8.56062123685621 8.67962610561501 8.76358495474493 8.82146536710956 8.86777432914485 8.90985975270037 9.11957669493249 9.2072547531652 9.26027532973555 9.29405838066135
8.069129662006 8.41505466219711 8.58604630162904 8.69640886780642 8.77427748185187 8.83096772952349 8.87697281558499 8.9172302852249 9.13767055259227 9.22194385190369 9.27482501190292 9.30968960944669
7.91690396678069 8.28303327822046 8.46621218146696 8.58779265935752 8.68110042644904 8.75048909596839 8.80991536518647 8.85898376449011 9.11004064636207 9.21556280098236 9.2831607916677 9.3301889015877
