"kNN3" "kNN4" "kNN5" "kNN6" "kNN7" "kNN8" "kNN9" "kNN10" "kNN20" "kNN30" "kNN40" "kNN50" "gt"
0.919043687650499 0.916112831097351 0.913319573443413 0.911490884072927 0.909765393876849 0.908597179222566 0.908240798073615 0.907324389404885 0.903054695562436 0.895289989680083 0.884393532851737 0.876305469556244 "Top50"
0.891319986192613 0.890311356575768 0.887594753192958 0.886071108042803 0.884448740075941 0.883188816016569 0.882880911287539 0.882129099068001 0.878843631342768 0.872586813945461 0.864186399723852 0.858225060407318 "Top100"
0.897527768156102 0.896998960859023 0.894635261517146 0.893591502136012 0.892262325366586 0.891506292575915 0.891526151714583 0.890918831543702 0.888866412654428 0.883674864334372 0.876737559173306 0.871870684678444 "Top150"
0.858334376086201 0.859360792492179 0.857841501564129 0.857503302050747 0.856738616614529 0.856521028849496 0.856973236009732 0.856810566562391 0.856914841849148 0.852916579770594 0.847122697254084 0.843196385123392 "Top200"
0.82561116149285 0.827793512382281 0.82717070108127 0.827045971398675 0.826623787931636 0.826879944192536 0.827709801185909 0.827769515172654 0.829036065573771 0.826318800139519 0.821832438088594 0.818900313916986 "Top250"
0.817788356084471 0.820113639015284 0.819960564694901 0.81976385485941 0.819358767938397 0.81960821374402 0.820526893011317 0.820649632481624 0.8220401353401 0.819346867343367 0.814876677167192 0.812110838875277 "Top300"
0.813985849766672 0.816788599528325 0.816924682623313 0.81685623965076 0.816514426213056 0.816806663655979 0.817661498319033 0.817842139595564 0.819304129660294 0.816927492598725 0.812876511616238 0.810328064629435 "Top350"
0.796106979203384 0.799254494183997 0.799738456115615 0.800065914698625 0.79996580895312 0.800387381036306 0.801331159675714 0.801607684173423 0.803483080719069 0.801514628128305 0.797963870285513 0.795726471624956 "Top400"
0.78464504971898 0.78802012341312 0.788773650905947 0.789092638446724 0.789069370750305 0.789504696773179 0.790436976771607 0.790716189128641 0.792588609833746 0.790761938450654 0.787432456864363 0.785277679518925 "Top450"
0.780794604188853 0.784564714235002 0.785612495562655 0.786115015974441 0.786252183173589 0.786789634362797 0.78777110401136 0.788108484203053 0.790431238906638 0.789078026269081 0.786190415335463 0.784349307774228 "Top500"
0.768546814781229 0.772575055866826 0.773846552450044 0.774537552223338 0.774835638177284 0.77544269197137 0.776485668944522 0.776916280726755 0.779577420086148 0.778503092917058 0.775883926547268 0.774291284775075 "Top550"
0.760999761649386 0.764920986771541 0.766179597187463 0.766693600286021 0.766977952568228 0.767556906209033 0.768574544154451 0.76902669526874 0.771625908711715 0.7705909903468 0.767943630079847 0.766359075199619 "Top600"
0.757044519886285 0.76136557091993 0.762814606276393 0.763436283845326 0.763802158372664 0.764445916480362 0.765525544423284 0.766049846816262 0.769127101101267 0.76847616681847 0.766199884077171 0.764829234633325 "Top650"
0.748396008025104 0.753157466947888 0.754923092751685 0.755554812490354 0.756030454241473 0.756792427594012 0.757857914501775 0.758388497350687 0.761479499974279 0.76102947682494 0.759064869592057 0.757851535572817 "Top700"
0.74114848813396 0.745850764968076 0.747538657993013 0.748135887242501 0.748582676785929 0.749306830502349 0.750360775810143 0.750865678833875 0.753967088302614 0.753518853150223 0.751706541380557 0.750580219250693 "Top750"
0.735325716358361 0.740143362350381 0.741937704026115 0.7425554044251 0.743057580703663 0.743836960464273 0.74493679724338 0.74550417120058 0.74893081247733 0.748859085963003 0.747456474428727 0.746589136742836 "Top800"
0.7238011948864 0.728861431722307 0.730913638407675 0.731755198184115 0.732433328336795 0.733348893980599 0.734525278913895 0.735151930448189 0.738929570226343 0.739206920919077 0.738100259106191 0.737441315659864 "Top850"
0.719986359761296 0.725197905249056 0.727317500913409 0.728283928063979 0.729026427962489 0.729982462550237 0.731142451183372 0.731784679089027 0.735772906263955 0.736247472902204 0.735347298339626 0.734833597206999 "Top900"
0.717416632891359 0.722595333217532 0.724725532202343 0.725729990542914 0.726517128905873 0.727510856348793 0.728707235635844 0.729399494335398 0.733488969949627 0.734029066064501 0.733261305077876 0.732825121108602 "Top950"
0.71823040117777 0.723438498343762 0.725585866764814 0.726564372469636 0.727385645933014 0.72834987118145 0.729523665807876 0.730233271991167 0.734257489878543 0.734818402649982 0.734136768494663 0.733726831063673 "Top1000"
0.723373567962371 0.724007132737793 0.725508340553394 0.725680868826965 0.726137609774939 0.726535801735121 0.726553454696264 0.726018981876058 0.72387797190543 0.722774073401954 0.721957741635497 0.721100101939966 "CellMarkerDB"
