"","S.Score","G2M.Score","Phase"
"A14.D045140.3_38_F.1.1",1.14759443987431,2.0278639808529,"G2M"
"A14.MAA000409.3_10_M.1.1",-0.915272575066601,-0.621564428558087,"G1"
"A14.MAA000596.3_9_M.1.1",1.27023914263446,-1.22622745024081,"S"
"A14.MAA000600.3_8_M.1.1",-0.509543346531129,1.48200876193657,"G2M"
"A14.MAA000652.3_10_M.1.1",-0.465464531685288,-0.501896760873623,"G1"
"A14.MAA000844.3_10_M.1.1",-0.673395717426985,-0.723446167397859,"G1"
"A14.MAA000848.3_10_M.1.1",0.74177876151334,-0.72117460255187,"S"
"A14.MAA001844.3_38_F.1.1",-0.899570504725283,-0.580791572794808,"G1"
"A14.MAA001883.3_39_F.1.1",-0.432263005225042,-0.532735653631696,"G1"
"A14.MAA001884.3_38_F.1.1",-0.733316099502466,-0.316878853057721,"G1"
"A15.D041912.3_8_M.1.1",-0.755963707157159,-0.133919761717821,"G1"
"A15.D042044.3_9_M.1.1",1.48701161278915,3.60201884722826,"G2M"
"A15.D042193.3_8_M.1.1",-0.392508135449527,-0.248931672698354,"G1"
"A15.D042467.3_9_M.1.1",-0.151591566905862,-0.574719078811086,"G1"
"A15.D042479.3_8_M.1.1",-0.131512486988334,1.70720024745925,"G2M"
"A15.D045140.3_38_F.1.1",-0.386996034857481,-0.355483289373821,"G1"
"A15.MAA000409.3_10_M.1.1",-0.637545270869141,-0.515616737478451,"G1"
"A15.MAA000596.3_9_M.1.1",0.253290788543087,-1.04218943346551,"S"
"A15.MAA000600.3_8_M.1.1",2.38275698219724,0.210246176169868,"S"
"A15.MAA000639.3_9_M.1.1",0.0676788899575524,2.46726220014684,"G2M"
"A15.MAA000652.3_10_M.1.1",-0.24141623805468,-0.50393916986781,"G1"
"A15.MAA000844.3_10_M.1.1",-0.063183463891233,-0.457371245808733,"G1"
"A15.MAA000848.3_10_M.1.1",0.562518244562809,2.39129533290987,"G2M"
"A15.MAA001884.3_38_F.1.1",-0.485604502266866,-0.454007597821663,"G1"
"A15.MAA001887.3_39_F.1.1",-0.281445300255676,-1.10981555581918,"G1"
"A16.D041912.3_8_M.1.1",-0.685843500286598,-0.421113218081948,"G1"
"A16.D042044.3_9_M.1.1",-0.888100340217789,-0.769214947500313,"G1"
"A16.D042193.3_8_M.1.1",-0.297226835704108,-0.558155894146072,"G1"
"A16.D042479.3_8_M.1.1",-0.101131087805728,-0.770808911132551,"G1"
"A16.D045140.3_38_F.1.1",-0.378956460734118,-0.0774903547383462,"G1"
"A16.MAA000409.3_10_M.1.1",-0.91722168184778,-0.399328617815777,"G1"
"A16.MAA000596.3_9_M.1.1",-0.969291344622611,-1.00995572423943,"G1"
"A16.MAA000600.3_8_M.1.1",-0.880578412850595,-0.752280119489515,"G1"
